"txt_cleaned","incivility","DIC","doc"
"在政府的帶領下香港定能再次騰飛",0,0,"在 政府 的 帶領 下 香港 定能 再次 騰飛"
"身為總統玩報復咁小家，正一著起龍袍吾似太子:",0,0,"身為 總統 玩報復 咁小 家 正一 著起 龍袍 吾似 太子"
"屌佢老母啦  德國扣押人地d貨添呀  一蚊都唔撚比呀  全歐洲第一個國家咁撚樣做添呀  有冇人屌過德國呀？",1,1,"屌佢老母 啦 德國 扣押 人地 貨 添呀 一蚊 都 唔撚 比 呀 全 歐洲 第一個 國家 咁撚 樣做 添呀 有冇人 屌 過 德國 呀"
"d狗全部紙紮既掂下就襲警",2,0,"狗 全部 紙紮 既 掂 下 就 襲警"
"好想渣佢對香波////",0,0,"好想 渣 佢 對 香波"
"屌, 根本係大陸喱",3,1,"屌 根本 係 大陸喱"
"柒左啦，轉個p牌acc再黎過啦，垃圾五毛",3,1,"柒左 啦 轉個 牌 再黎 過啦 垃圾 五毛"
"場運動持續四個幾月 第五個月都嚟 你連我地嘅訴求都唔知就縮返入你老母個閪到唔好出嚟獻世啦",1,1,"場 運動 持續 四個 幾月 第五 個月 都 嚟 你連 我地 嘅 訴求 都 唔知 就 縮 返入 你 老母 個 閪 到 唔好 出嚟獻世 啦"
"見好就收啦，自己一條友仲一路追，抵撚死",1,1,"見好就 收 啦 自己 一 條友 仲 一路 追 抵 撚 死"
"仲有尤其係後生仔女, 以為有咗民主就可以自動有好多錢唔駛做, 可以日日吃喝玩樂, 瘋狂花費響旅行, 名牌服裝手袋, 名貴跑車......度, 甚至放縱喺毒品, 性濫交度......:q總之一切都係天堂, 結果響政棍教棍媒棍鼓動下, 佢哋為咗心目中嘅""天堂""而走去做死士, 到最後, 得益嘅咪又係班政棍教棍媒棍, 班後生仔女最後咪乜嘢都得唔到!:q",2,1,"仲有 尤其 係 後生仔女 以為 有咗 民主 就 可以 自動 有 好多錢 唔駛做 可以 日日 吃喝玩樂 瘋狂 花費 響 旅行 名牌 服裝 手袋 名貴 跑車 度 甚至 放縱 喺 毒品 性 濫交 度 總之 一切 都係 天堂 結果 響 政棍 教棍 媒棍 鼓動 下 佢哋 為咗 心目中 嘅 天堂 而 走 去做 死士 到 最後 得益 嘅 咪 又係 班 政棍 教棍 媒棍 班 後生仔女 最後 咪 乜嘢 都得 唔到"
"現場斷正都仲可放生, 唔怪得之香港法治排名跌咁多",0,0,"現場 斷正 都 仲 可 放生 唔怪得之 香港 法治 排名 跌 咁多"
"住過柴灣而家唔係痴撚線咩果座山你叫我行都唔撚制呀",1,1,"住過 柴灣 而家 唔係 痴撚線 咩 果座 山 你 叫我 行都 唔撚 制呀"
"係曱甴心目中人命如糞土<U+22EF><U+22EF>",2,1,"係 曱甴 心目中 人命 如 糞土"
"依家咪就係屌9你地點解唔跟指引囉有指引你唔撚跟 咁仲提咩9指引呀",1,1,"依家 咪 就係 屌 你地 點解 唔跟 指引 囉 有 指引 你 唔撚 跟 咁 仲提 咩 指引 呀"
"暴徒可恥",2,1,"暴徒 可恥"
"凸首到底做了什麼事?? 想不出來:",2,1,"凸首 到底 做了 什麼事 想 不出來"
"咁咪證明你犯民狗喺香港無民意支持囉！！！:",2,1,"咁咪 證明 你 犯民狗 喺 香港 無 民意 支持 囉"
"不自量力，簡直係阻街！",0,0,"不自量力 簡直 係 阻街"
"所謂reference係咪一啲好有國際權威認證嘅資料:",0,0,"所謂 係咪 一啲 好有 國際 權威 認證 嘅 資料"
"《天滅中共賦》共黨臣民 作惡多端外侵諸邦 內屠義士赤匪所至 寸草不生禍國殃民 血債累累習妖維尼 逆天而行自立為帝 天怒人怨庚子伊始 天譴將臨大仙報夢 國運已盡共黨治下 必有七患正月武肺 播毒中原二月流感 飛禽盡亡三月地震 血流成河四月豬瘟 百物騰升五月飢荒 易子而食六月內戰 析骸而爨七月水災 長江決堤炎共將亡 水德當立歲在庚子 天滅中共",2,1,"天 滅 中 共賦 共黨 臣民 作惡多端 外侵 諸邦 內屠 義士 赤匪 所至 寸草不生 禍國殃民 血債 累累 習妖維尼 逆天 而行 自立 為帝 天怒人怨 庚子 伊始 天譴 將臨 大仙 報夢 國運 已盡 共黨 治下 必有 七患 正月 武肺 播毒 中原 二月 流感 飛禽 盡亡 三月 地震 血流成河 四月 豬瘟 百物 騰升 五月 飢荒 易子而食 六月 內戰 析 骸 而 爨 七月 水災 長江 決堤 炎共將亡 水德 當立 歲 在 庚子 天滅 中共"
"記得賠錢呀!!!",0,0,"記得 賠錢 呀"
"勇武個d高薪厚職",0,0,"勇武 個 高薪厚職"
"你地最想。係法拉入面下面後面放咩，同埋一定要做？////",0,0,"你地 最想 係 法拉 入面 下面 後面 放 咩 同埋 一定 要做"
"根本有人有心想令行動post沉底",0,0,"根本 有人 有 心想 令 行動 沉底"
"收皮啦死暴徒,支持警方執法",2,1,"收皮啦 死 暴徒 支持 警方 執法"
"做乜無食藥仲吾快去跳樓死啦ˇ垃圾",0,0,"做乜 無食藥 仲吾 快去 跳樓 死啦 垃圾"
"你條低端獨畜係現實生活唔敢認係獨畜，無撚用，切左條撚算數啦，搵你娘親試下，一定滿足你老母臭西:lol;p",3,1,"你條 低端 獨畜 係 現實 生活 唔敢 認係 獨畜 無 撚 用 切左 條 撚 算數 啦 搵你 娘親 試下 一定 滿足 你老母臭 西"
"聖誕去鳩嗚？開party咩",1,1,"聖誕 去 鳩嗚 開 咩"
"郵票未蓋印，代表未用過，不是嗎？",0,0,"郵票 未 蓋印 代表 未 用過 不是 嗎"
"連左啦5分鐘就自動熄網",0,0,"連 左啦 分鐘 就 自動 熄網"
"幾任阿一～你地同部份黑警受制特9英呢個大種乞兒你地真係死梗...",3,1,"幾任 阿一 你地 同 部份 黑警 受制 特 英 呢個 大種 乞兒 你地 真係 死梗"
"幫推真係好撚多五毛",3,1,"幫 推 真係 好撚多 五毛"
"左膠個樣呢",2,1,"左膠 個樣 呢"
"呢度d五毛藍絲幾咁乞人憎，發生咗咁不幸的事仲要喺度挑撥離間。",2,1,"呢度 五毛 藍絲 幾咁 乞人憎 發 生咗 咁 不幸 的 事 仲要 喺度 挑撥離間"
"唔緊要今晚再來:",0,0,"唔緊要 今晚 再來"
"演講，擺明寸犯民。搞咁多野，有破壞，無建設。簡單基建要30年。 國內3 年，就可以",2,1,"演講 擺 明寸 犯民 搞 咁多野 有 破壞 無建設 簡單 基建 要 年 國內 年 就 可以"
"呢個太屎演技，飯盒都冇得攞??",1,0,"呢個 太屎 演技 飯盒 都 冇得 攞"
"難得有間唔藍既大公司",0,0,"難得 有間 唔 藍 既 大公司"
"屌 民煮黨畜牲途緊身今日啞撚咗？？？？",3,1,"屌 民煮 黨 畜牲 途 緊身 今日 啞 撚 咗"
"藍絲嘅唯一下場https://lih.kg/1691689- 分享自 lihkg 討論區",0,0,"藍絲 嘅 唯一 下場 分享 自 討論區"
"呢次樓主講得非常o岩聽！:)",0,0,"呢次 樓主 講得 非常 岩聽"
"老董",0,0,"老董"
"如果一個國家有投票權.....但成日要擔驚受怕...唔知幾時會比炸彈炸死ge~~~你去住啦.....仲有就係依拉克本來係中東已經係一個強國......且擁有大量石油........美國係要扶根本就易過日本/南韓呢d無資源國家.....你估如果薩達姆唔係反美.....美國采佢都傻啦...........中東其他阿拉伯國家...都唔係民主政制......而係政教合一式者君主世襲...唔見美國去幫佢地有民主????關鍵根本就唔係佢係咪民主...而係佢係咪反美...............你呢d根本就盲目相信民主.....民主無敵論係你思維上根深柢固",0,0,"如果 一個 國家 有 投票權 但 成日 要 擔驚受怕 唔知 幾時 會比 炸彈 炸死 你 去 住 啦 仲有 就係 依 拉克 本來 係 中東 已經 係 一個 強國 且 擁有 大量 石油 美國 係要 扶 根本 就易 過 日本 南韓 呢 無資源 國家 你估 如果 薩達姆 唔係 反美 美國 采 佢 都 傻啦 中東 其他 阿拉伯 國家 都 唔係 民主 政制 而係 政教合一 式 者 君主 世襲 唔見 美國 去幫 佢地 有民主 關鍵 根本 就 唔係 佢係 咪 民主 而係 佢係 咪 反美 你 呢 根本 就 盲目 相信 民主 民主 無敵 論 係 你 思維 上 根深柢固"
"林鄭話唔得就唔得，老鼠成不聽領導指揮，搞亂香港",2,1,"林鄭 話 唔得 就 唔得 老鼠成 不聽 領導 指揮 搞亂 香港"
"又要吊你老母",1,0,"又要 吊你老母"
"石籬撚打算出黎荃灣",2,1,"石籬 撚 打算 出黎 荃灣"
"只因被毒媒成功妖魔化 又話割心肝脾肺腎 眼角膜等等!將某些單一事件包裝成恆常事件!唔通香港有幾單殺母 就話個個殺自已老母 妖獸都市咩:",0,0,"只因 被 毒媒 成功 妖魔化 又話 割 心肝脾肺腎 眼角膜 等等 將 某些 單一 事件 包裝 成 恆常 事件 唔通 香港 有 幾 單殺 母 就話 個個 殺 自已 老母 妖獸 都市 咩"
"如果冇我地香港支撐,大陸一早己經破產!今次香港人發威,共產黨好快就要跪低.任老係5毛,可悲.:",2,1,"如果 冇我 地 香港 支撐 大陸 一早 己經 破產 今次 香港人 發威 共產黨 好快 就要 跪低 任老 係 毛 可悲"
"其實呢啲柒碌紅官有冇犯到法",3,1,"其實 呢啲 柒碌 紅官 有冇 犯到 法"
"兩屆特首只不過係演員,並無實權,職責只係協助上面演好早已安排嘅劇本,香港唔掂走去向中央乞食,情節基本無太大分別,老共玩呢d野係有一手,所以我覺得做佢兩個好慘,人在江湖身不由己!",0,0,"兩屆 特首 只不過 係 演員 並無 實權 職責 只係 協助 上面 演好 早已 安排 嘅 劇本 香港 唔掂 走去 向 中央 乞食 情節 基本 無 太大 分別 老共 玩 呢d野 係有 一手 所以 我 覺得 做 佢 兩個 好慘 人在 江湖 身不由己"
"屌又趕記者走",1,1,"屌 又 趕 記者 走"
"藍屍有啲都話唔支持暴力",2,1,"藍屍 有啲 都話 唔支持 暴力"
"樓主講得好, 但係得一句就係一哥做特首掂, 強政厲治, 打倒政棍, 通廢青櫃:",2,1,"樓主 講得好 但係 得 一句 就係 一哥 做特首 掂 強政 厲治 打倒 政棍 通 廢青 櫃"
"咁下三流低髒既手段係黑警先做得出",2,1,"咁 下三流 低 髒 既 手段 係 黑警 先做 得出"
"好簡單 冇飯開既人會劈佢老母",0,0,"好簡單 冇 飯開 既 人會 劈 佢老母"
"1500萬，如果學生會仆街用黎港獨，買軍火都夠，真係要徹底下班仆街大學生。",1,1,"萬 如果 學生會 仆街 用黎 港獨 買 軍火 都夠 真係 要 徹底 下班 仆街 大學生"
"掉到變常態就無人反感",0,0,"掉到 變 常態 就 無人 反感"
"唔落多d雨 點體現到三峽大壩既堅固厲害了 蛾的蟈",0,0,"唔落 多 雨 點 體現 到 三峽大壩 既 堅固 厲害 了 蛾 的 蟈"
"帶囗罩擺 post, 記者柒的嗎？",1,1,"帶囗罩 擺 記者 柒的嗎"
"自由黨比泛民更無恥:",1,1,"自由黨 比 泛民 更 無恥"
"淨係呢頁黎到呢到已經有四條硬膠既淨係會諗到其他人客當時雙手都冇拎住野架喎:",1,1,"淨係 呢 頁 黎到 呢到 已經 有 四條 硬膠 既 淨係 會 諗到 其他 人客 當時 雙手 都冇 拎住 野 架喎"
"到底何時才把isis班賤種殺光:",1,1,"到底 何時 才 把 班 賤種 殺光"
"腰瘦， 顯得胸更大",0,0,"腰 瘦 顯得 胸 更大"
"香港起條高鐵都成千億，日本咁撚廢",1,1,"香港 起條 高鐵 都 成 千億 日本 咁撚 廢"
"omg 洋奴心碎了",2,1,"洋奴 心碎 了"
"屌你老母何妖同你老母一樣做咁多陰質野早就要死啦",3,1,"屌你老母 何妖 同你 老母 一樣 做 咁多 陰質野 早就 要 死啦"
"被肛門黨遺棄嘅爛頭卒，真可憐",2,1,"被 肛門黨 遺棄 嘅 爛頭卒 真可憐"
"呢兩個禮拜香港條街真係好撚多人",1,1,"呢 兩個 禮拜 香港 條街 真係 好撚 多人"
"香港真係可悲，鳩永髒，白痴瘋呢兩件咁撚騎呢都可以捧到上天。外人不知，會以為香港全境是一間超大型弱智兒童中心。",3,1,"香港 真係 可悲 鳩永 髒 白 痴瘋 呢 兩件 咁撚 騎呢 都 可以 捧到 上天 外人 不知 會以 為香港 全境 是 一間 超大型 弱智 兒童 中心"
"689俾蝗滋瘋用巨形吊車居高臨下監視全屋 連老婆同女都唔放過,原來689權力遠遠未夠黃渣假髮狗官超然",2,1,"俾 蝗滋瘋 用 巨形 吊車 居高臨下 監視 全屋 連 老婆 同女 都 唔放過 原來 權力 遠遠 未夠 黃 渣 假髮 狗官 超然"
"抗疫來說 講真差過林奠好q多",2,1,"抗疫 來說 講真 差過 林奠 好 多"
"又一單相由心生",0,0,"又 一單 相由心生"
"仲有兩項紀錄：智障及精神病人特別多，黃屍是也；另外，唔認列祖列宗，以踐踏詛咒及出賣自己國家為榮為快嘅漢奸畜牲，近年數量暴增，全球應該首屈一指。",2,1,"仲有 兩項 紀錄 智障 及 精神病人 特別多 黃屍 是也 另外 唔認 列祖列宗 以 踐踏 詛咒 及 出賣 自己 國家 為榮 為快 嘅 漢奸 畜牲 近年 數量 暴增 全球 應該 首屈一指"
"借個位(廣傳置頂)全力支持中聯辦旗下的三中商！書展齊齊做文青！https://lihkg.com/thread/1307291/page/1",0,0,"借 個位 廣傳 置頂 全力 支持 中聯辦 旗下 的 三 中商 書展 齊齊 做文青"
"係咪做人做到咁冇良心警察幾撚時死",1,1,"係咪 做人 做到 咁冇 良心 警察 幾 撚 時 死"
"呢隻大曱甴 有報應的??",2,1,"呢隻 大 曱甴 有報應 的"
"的確好荒謬，到依家都仲未拉林已完。xxxxx2:",2,0,"的確 好 荒謬 到 依家 都 仲未 拉林 已完"
"個位x奴表面黃，內??藍到黑。雲海單野就知佢，假到仆街",3,1,"個位 奴表 面黃 內 藍到 黑 雲海 單野 就知 佢 假到 仆街"
"武警幾時先入境剿殺暴徒，解放香港。",2,1,"武警 幾時 先 入境 剿殺 暴徒 解放 香港"
"睇得出林奠真係好驚攬炒，證明方向正確了",2,1,"睇得出 林奠 真係 好驚 攬炒 證明 方向 正確 了"
"其實衰咸濕:lol",1,1,"其實 衰 咸濕"
"左膠大本營，股份仲賣俾支資",2,1,"左膠 大本營 股份 仲 賣俾 支資"
"721個日西環夜晚有攻有守由金鐘行能到去西環入夜聽到西環嗌光復香港 時代革命然後再有手足入返元朗救人打到班鄉黑縮返入去呢個夢 個股士氣 我一世都唔會忘記",2,1,"個日 西環 夜晚 有攻 有 守 由 金鐘 行能 到去 西環 入夜 聽到 西環 嗌 光復香港 時代革命 然後 再有 手足 入返 元朗 救人 打到 班 鄉黑 縮 返入 去 呢 個夢 個股 士氣 我 一世 都 唔會 忘記"
"抗爭心態都冇 你含撚啦屌你老母",1,1,"抗爭 心態 都冇 你 含撚 啦 屌你老母"
"bam圖巴 你答個個咩人黎 我完封左",0,0,"圖巴 你 答 個個 咩人 黎 我 完 封左"
"睇下到時共產黨點老屈我分裂國家",0,0,"睇下 到時 共產黨 點 老屈 我 分裂 國家"
"個post好多三毛撚樣喺度推緊，唔該大家幫手拉返落嚟請善用不推文功能冷對待場仗未打完，唔需要而家做檢討focus中大各地「請善用不推文功能」場仗未打完，唔需要而家做檢討，focus中大各區",3,1,"個post 好多 三毛 撚樣 喺度 推緊 唔該 大家 幫手 拉 返落嚟 請 善用 不 推文 功能 冷 對待 場仗 未 打完 唔需要 而家 做 檢討 中大 各地 請 善用 不 推文 功能 場 仗 未 打完 唔需要 而家 做 檢討 中大 各區"
"畀人拉畀人打 出埋街 約埋草 八條罪都唔係手足你鬥黃鬥上腦<U+FFFC>？！你係咪癲撚咗？！搵英議員都畀你話「唔係真心，你好嘢！」定誅心論誅上腦<U+FFFC>十足十支兩支那人嗰啲，別有用心陰謀論 政治法做戲之流你啲 乜嘢講嘢方式嚟<U+35CE><U+FFFC>？！痴撚線拉",3,1,"畀人 拉 畀人 打 出 埋街 約埋 草 八條 罪 都 唔係 手足 你 鬥黃鬥 上腦 你 係咪 癲 撚 咗 搵 英 議員 都 畀你 話 唔係 真心 你好嘢 定 誅心 論 誅 上腦 十足十 支兩 支那人 嗰啲 別有用心 陰謀論 政治 法 做戲 之流 你 啲 乜嘢 講嘢 方式 嚟 痴撚線 拉"
"叫妓協米l玩啦，以為真係大l晒咩。",2,1,"叫 妓協 米 玩啦 以為 真係 大 晒 咩"
"西九高鐵站繼續開黨鐵車廂又唔洗港豬噢大橋仲要唔洗錢武漢湖北d 飛機照飛連陳肇始都叫人唔洗戴口罩仆你個街叫我地香港兒女d 醫護用條命同你埋單你都痴撚線#一人一帖撐醫療界罷工#醫護的命也是命",3,1,"西九 高鐵站 繼續 開 黨鐵 車廂 又 唔洗 港豬 噢 大橋 仲要 唔洗錢 武漢 湖北 飛機 照飛連 陳肇始 都 叫人 唔洗 戴口罩 仆 你 個 街 叫我 地 香港 兒女 醫護 用 條命 同你 埋單 你 都 痴撚線 一人 一帖 撐 醫療界 罷工 醫護 的 命 也是 命"
"大淫帝國“科學家”研究證實，印度人由每日食兩餐改為每日食三餐，係極大的浪費，係對地球的破壞。",0,0,"大淫 帝國 科學家 研究 證實 印度人 由 每日 食兩餐 改為 每 日食 三餐 係 極大 的 浪費 係 對 地球 的 破壞"
"on9 「黃絲曱甴」果然係低b, 自作業自 hi 到自己人生 j 彩。://news.discuss.com.hk/images/common/back.gif",3,1,"黃絲 曱甴 果然 係 低 自 作業 自 到 自己 人生 彩"
"今日喺書店睇到呢本書，就睇書嘅片面之詞，我相信鄧龍威係無辜，希望香港政府可以盡力幫忙，最小令到鄧龍威得到公平審訊，睇呢件事我諗起以前嘅旅行團領隊區永祥事件，好彩當時肥彭同一班熱心人士全力營救，喺回歸前救返區永祥和另一位團友回來，依家嘅香港政府同香港人比以前變咗好多",2,1,"今日 喺 書店 睇到 呢 本書 就 睇書 嘅 片面之詞 我 相信 鄧龍威 係 無辜 希望 香港政府 可以 盡力 幫忙 最小 令到 鄧龍威 得到 公平 審訊 睇呢 件事 我 諗起 以前 嘅 旅行團 領隊 區永祥 事件 好彩 當時 肥彭 同 一班 熱心 人士 全力 營救 喺 回歸前 救返 區永祥 和 另一位 團友 回來 依家 嘅 香港政府 同 香港人 比 以前 變咗 好多"
"挑!又係錢作怪",0,0,"挑 又係 錢作怪"
"成龍跟梁派英一樣咁賤格唔明仲有d傻仔話佢地講得岩~撐cy,收皮啦:",1,1,"成龍 跟 梁派 英 一樣 咁 賤格 唔明 仲有 傻仔 話 佢地 講得岩 撐 收皮啦"
"快撚啲入青山啦 個仆街",1,1,"快 撚 啲 入 青山 啦 個 仆街"
"自決左派抄本土派，無本土派咪大事碌撚囉",1,1,"自決 左派 抄 本土派 無 本土派 咪 大事 碌撚 囉"
"臨訓前再推希望大家一起身全部都係上環post",0,0,"臨訓 前 再推 希望 大家 一起身 全部 都係 上環"
"死l左十尻幾年 仲講",1,1,"死 左十 尻 幾年 仲講"
"真心嘔撚血 但要推",1,1,"真心 嘔 撚 血 但要 推"
"都唔知話佢天真定傻好，案底你估玩呀，真係坐完當無數？家人有案底都會影響其他家人投考公務員，係d傻hihi廢青以為好過引。",2,1,"都 唔知 話 佢 天真 定 傻 好 案底 你 估玩 呀 真係 坐完 當 無數 家人 有 案底 都會 影響 其他 家人 投考 公務員 係 傻 廢青 以為 好過引"
"坐過監 人生先精彩呀",0,0,"坐過監 人生 先 精彩 呀"
"嗰條友死雞撐飯蓋啫，根本到呢一刻都唔肯承認爆眼女係俾鋼珠所傷嘅，都係得嗰啲暴徒同佢地嘅支持者啫。試問如果好似佢話嘅證據確鑿，嗰個爆眼女點會千方百計去阻止警方攞醫療報告呢。要知道，佢出律師信係要錢嘅，邊有人咁儍明明自己係受害者，證據確鑿甚至可以告番警方賠償，反而要浪費金錢去阻止警方？仲有，如果真係證據確鑿，爆眼女呢單嘢仲唔有咁大搞到咁大咩？事實上，原片根本就好難睇到有無布袋彈，但之後班暴徒就提供咗一段所謂嘅現場片，但明顯就係經處理過，完全同之前嘅原片有所不同，如果我無記錯，仲係以黑白來展示布袋彈插在護鏡上。其實當時icable亦有拍到護目鏡放喺地上嘅幾個畫面，當時並無所謂嘅布袋彈在上面，後來就有啲圖片喺另一角度展示布袋彈插在護目鏡上。好明顯，之後睇到嘅布袋彈是否真的是打爆眼嗰個，已經係有疑點，所以唯一最能證明事實嘅就只有醫療報告，呢個係無得呃人嘅。",2,1,"嗰條友 死雞撐飯蓋 啫 根本 到 呢一刻 都 唔肯 承認 爆眼 女 係 俾 鋼珠 所傷 嘅 都係 得 嗰啲 暴徒 同佢 地 嘅 支持者 啫 試問 如果 好似 佢話 嘅 證據確鑿 嗰個 爆眼 女 點會 千方百計 去 阻止 警方 攞 醫療 報告 呢 要知道 佢 出 律師信 係要 錢 嘅 邊有 人 咁儍 明明 自己 係 受害者 證據確鑿 甚至 可以 告番 警方 賠償 反而 要 浪費 金錢 去 阻止 警方 仲有 如果 真係 證據確鑿 爆眼 女 呢單嘢 仲唔 有 咁大 搞到 咁大 咩 事實上 原片 根本 就 好難 睇到 有無 布袋 彈 但 之後 班 暴徒 就 提供 咗 一段 所謂 嘅 現場 片 但 明顯 就係 經 處理過 完全 同 之前嘅 原片 有所不同 如果 我 無記錯 仲係 以 黑白 來 展示 布袋 彈插 在 護鏡 上 其實 當時 亦有 拍到 護目鏡 放喺 地上 嘅 幾個 畫面 當時 並無 所謂 嘅 布袋 彈在 上面 後來 就 有啲 圖片 喺 另一 角度 展示 布袋 彈插 在 護目鏡 上 好明顯 之後 睇到 嘅 布袋 彈 是否 真的是 打爆 眼 嗰個 已經 係有 疑點 所以 唯一 最能 證明 事實 嘅 就 只有 醫療 報告 呢個 係 無得 呃人 嘅"
"認真，你再和理非，cctvb都會講撚到你係暴徒，不如痛痛快快做返次啦，開遮捉狗入人羣，全裸掟返佢地出去",3,1,"認真 你 再 和 理非 都會 講 撚 到 你 係 暴徒 不如 痛痛快快 做 返次啦 開遮捉 狗入 人羣 全裸 掟 返 佢地 出去"
"牛鬼蛇神見到老毛仲邪撚過佢，梗係唔會入屋",3,1,"牛鬼蛇神 見到 老毛仲邪 撚 過 佢 梗係 唔會 入屋"
"anyway, 真心多謝前日琴日咁多位機場巴打嘅努力真心嘅做法上可能大家有唔同意見但大家有一樣嘅終極目標我第一個cm 語氣重左都唔好意思只係想大家有改善姐我相信呢到所有巴打都係企係你地個邊只係提出唔同嘅論點反思下一齊努力時代革命",0,0,"真心 多謝 前日 琴日 咁多位 機場 巴打 嘅 努力 真心 嘅 做法 上 可能 大家 有唔同 意見 但 大家 有 一樣 嘅 終極 目標 我 第一個 語氣重 左 都 唔好意思 只係 想 大家 有改善 姐 我 相信 呢到 所有 巴打 都係 企係 你地 個邊 只係 提出 唔同 嘅 論點 反思 下 一齊 努力 時代革命"
"青年新政，恨鐵不成鋼",0,0,"青年新政 恨鐵不成鋼"
"準備好課金！",0,0,"準備好 課金"
"曱甴一早割晒蓆啦.",2,1,"曱甴 一早 割晒 蓆 啦"
"修例風波：疑無禁學生奏《榮光》　九龍塘香島中學教師稱不獲續約感覺到秋後算帳時間到了，今日炒左件黃師，唔知幾時炒返幾件黑醫護呢？可能等疫情完後人手無甘緊張時...",2,1,"修例 風波 疑 無 禁 學生 奏 榮光  九龍塘 香島中學 教師 稱 不獲 續約 感覺到 秋後算帳 時間 到了 今日 炒左 件 黃師 唔知 幾時 炒返 幾件 黑 醫護 呢 可能 等 疫情 完 後 人手 無甘 緊張 時"
"黐線, 係咪都嘈, 家吓又唔係取消咗 83 個廣東話新聞台, 而全由85代替,同時又冇逼你哋一定要睇 85 台, 你有自由選擇, 電視台同樣有自由播放,電台都有普通話台啦, 咁又點呀 ? 等市民多種選擇有罪呀 ?如果有人想學普通話同埋簡體字, 可以有多個選擇咁解之嘛,有咩唔妥啫, 乜都要嘈一餐, 多l 餘",0,0,"黐線 係咪 都嘈 家吓 又唔係 取消咗 個 廣東話 新聞台 而 全由 代替 同時 又 冇 逼 你哋 一定 要 睇 台 你 有 自由 選擇 電視台 同樣 有 自由 播放 電台 都有 普通話 台 啦 咁 又 點呀 等 市民 多種 選擇 有罪 呀 如果 有人 想學 普通話 同埋 簡體字 可以 有 多個 選擇 咁解 之嘛 有咩 唔妥 啫 乜都要 嘈 一餐 多 餘"
"乜邏輯？完全唔明，可以配合文字解說下？",0,0,"乜 邏輯 完全 唔明 可以 配合 文字 解說 下"
"上次遊輪條友話，“林鄭一早封關既話，我就唔會出去囉！”條友一定係日日要阿媽叫，先知醒去返工，遲到怪阿媽冇叫佢！",0,0,"上次 遊輪 條友 話 林鄭 一早 封關 既話 我 就 唔會 出去 囉 條友 一 定係 日日 要 阿媽 叫 先 知醒 去 返工 遲到 怪 阿媽 冇叫佢"
"【3.26特首決戰】【本報訊】參選特首的林鄭月娥日前在訪問中稱丈夫林兆波和兒子都無意放棄英...",0,0,"特首 決戰 本報訊 參選 特首的 林鄭月娥 日前 在 訪問中 稱 丈夫 林兆波 和 兒子 都 無意 放棄 英"
"推林奠實闇住半邊咀笑",2,1,"推 林奠 實 闇 住 半邊 咀 笑"
"其他大學同學都可以",0,0,"其他 大學 同學 都 可以"
"呢方面係悲觀的.市民無理由陪佢地發癲,鬥大聲.唯有cy用一些手段,抑制一下:",0,0,"呢方面 係 悲觀 的 市民 無理由 陪佢地 發癲 鬥 大聲 唯有 用 一些 手段 抑制 一下"
"政治任務",0,0,"政治 任務"
"用盡晒咪福街囉只不過唔用既話，早o的福之嘛原來老曾個一百憶係咁意思，小財唔出，大財唔入要睇",1,1,"用盡 晒 咪 福街 囉 只不過 唔用 既話 早 的 福 之嘛 原來 老曾 個 一百 憶 係咁 意思 小財 唔出 大財 唔入 要 睇"
"14億人係飲農夫山泉架, 撚係飲寶礦力咩。 元秋議員我勸你少講無謂說話",1,1,"億人 係 飲 農夫山泉 架 撚係 飲 寶礦力 咩 元秋 議員 我 勸 你 少講 無謂 說話"
"各位手足 一陣見",0,0,"各位 手足 一陣 見"
"3套含得撚啦 :lol :lol :lol",1,1,"套 含 得 撚 啦"
"所以乜柒都想犯氓話事，但市民唔肯呢",3,1,"所以 乜柒 都想 犯氓 話事 但 市民 唔肯 呢"
"（法新社巴基斯坦白夏瓦10日電） 巴基斯坦警方說，西北部城市馬丹（mardan）今天舉行部隊檢閱儀式的時候，遭到自殺攻擊，造成至少14名士兵喪生。馬丹的高級警官阿布杜拉汗（abdullah khan）告訴法新社：「這是一起自殺攻擊。這名少年炸彈客穿著學校制服並徒步進行攻擊。」他說；「13名士兵當場喪命，另1人在醫院不治。另外14人受傷。」白夏瓦（peshawar）2名軍官證實這起自殺攻擊與死亡人數。馬丹位於地區首府白夏瓦東北方約30公里處。（譯者：中央社何世煌）",0,0,"法新社 巴基斯坦 白夏瓦 日電 巴基斯坦 警方 說 西北部 城市 馬丹 今天 舉行 部隊 檢閱 儀式 的 時候 遭到 自殺 攻擊 造成 至少 名 士兵 喪生 馬 丹 的 高級 警官 阿布杜 拉汗 告訴 法新社 這是 一起 自殺 攻擊 這名 少年 炸彈 客 穿著 學校 制服 並 徒步 進行 攻擊 他 說 名 士兵 當場 喪命 另 人在 醫院 不治 另外 人 受傷 白 夏 瓦 名 軍官 證實 這起 自殺 攻擊 與 死亡 人數 馬 丹 位於 地區 首府 白夏瓦 東北方 約 公里 處 譯者 中央社 何世煌"
